name,price,imgLink
Hogwarts Legacy,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/990080/capsule_sm_120.jpg?t=1673637592
Call of Duty®: Modern Warfare® II,$69.99,https://cdn.akamai.steamstatic.com/steam/apps/1938090/capsule_sm_120.jpg?t=1671472823
EA SPORTS™ FIFA 23,$69.99,https://cdn.akamai.steamstatic.com/steam/apps/1811260/capsule_sm_120.jpg?t=1672758344
Tom Clancy’s The Division® 2,$29.99$9.00,https://cdn.akamai.steamstatic.com/steam/apps/2221490/capsule_sm_120.jpg?t=1673546006
Lost Ark,Free To Play,https://cdn.akamai.steamstatic.com/steam/apps/1599340/capsule_sm_120.jpg?t=1673370109
Forza Horizon 5,$59.99$38.99,https://cdn.akamai.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1673029404
NBA 2K23,$59.99$20.99,https://cdn.akamai.steamstatic.com/steam/apps/1919590/capsule_sm_120.jpg?t=1673625785
Raft,$19.99$13.39,https://cdn.akamai.steamstatic.com/steam/apps/648800/capsule_sm_120.jpg?t=1655744208
ONE PIECE ODYSSEY,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/814000/capsule_sm_120.jpg?t=1673626181
ELDEN RING,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1672223247
Grand Theft Auto V,"",https://cdn.akamai.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1671485100
Warframe,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/230410/capsule_sm_120.jpg?t=1671045081
Sid Meier’s Civilization® VI,$59.99$5.99,https://cdn.akamai.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1671048172
Tom Clancy's Rainbow Six® Siege,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/359550/capsule_sm_120.jpg?t=1671482386
FINAL FANTASY XIV Online,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1669805579
Project Zomboid,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/108600/capsule_sm_120.jpg?t=1667832656
Borderlands 3,$59.99$8.99,https://cdn.akamai.steamstatic.com/steam/apps/397540/capsule_sm_120.jpg?t=1657214217
Forza Horizon 4,$59.99$19.79,https://cdn.akamai.steamstatic.com/steam/apps/1293830/capsule_sm_120.jpg?t=1667326422
The Elder Scrolls® Online,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/306130/capsule_sm_120.jpg?t=1667312669
Yu-Gi-Oh! Master Duel,Free To Play,https://cdn.akamai.steamstatic.com/steam/apps/1449850/capsule_sm_120.jpg?t=1648616316
American Truck Simulator,$19.99$4.99,https://cdn.akamai.steamstatic.com/steam/apps/270880/capsule_sm_120.jpg?t=1672925035
Dead Space,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/1693980/capsule_sm_120.jpg?t=1673546244
Red Dead Redemption 2,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1671485009
Ready or Not,$39.99,https://cdn.akamai.steamstatic.com/steam/apps/1144200/capsule_sm_120.jpg?t=1672853208
Tiny Tina's Wonderlands,$59.99$29.99,https://cdn.akamai.steamstatic.com/steam/apps/1286680/capsule_sm_120.jpg?t=1660273090
High On Life,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/1583230/capsule_sm_120.jpg?t=1673654644
Cities: Skylines,$29.99,https://cdn.akamai.steamstatic.com/steam/apps/255710/capsule_sm_120.jpg?t=1670837127
Marvel's Midnight Suns,$59.99$40.19,https://cdn.akamai.steamstatic.com/steam/apps/368260/capsule_sm_120.jpg?t=1671733540
The Sims™ 4,Free To Play,https://cdn.akamai.steamstatic.com/steam/apps/1222670/capsule_sm_120.jpg?t=1668103304
The Forest,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1666811027
Valheim,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1673342039
RimWorld,$34.99,https://cdn.akamai.steamstatic.com/steam/apps/294100/capsule_sm_120.jpg?t=1666905455
Sea of Thieves,$39.99,https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1673489975
Football Manager 2023,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/1904540/capsule_sm_120.jpg?t=1668082258
Stardew Valley,$14.99,https://cdn.akamai.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1666917466
ARK: Survival Evolved,$19.99,https://cdn.akamai.steamstatic.com/steam/apps/346110/capsule_sm_120.jpg?t=1669254188
Skul: The Hero Slayer,$19.99$9.99,https://cdn.akamai.steamstatic.com/steam/apps/1147560/capsule_sm_120.jpg?t=1673506346
Wallpaper Engine,$3.99,https://cdn.akamai.steamstatic.com/steam/apps/431960/capsule_sm_120.jpg?t=1665921297
Torchlight: Infinite,Free To Play,https://cdn.akamai.steamstatic.com/steam/apps/1974050/capsule_sm_120.jpg?t=1673564297
Mafia: Definitive Edition,$39.99$13.99,https://cdn.akamai.steamstatic.com/steam/apps/1030840/capsule_sm_120.jpg?t=1632420251
Path of Exile,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/238960/capsule_sm_120.jpg?t=1669970956
Grounded,$39.99,https://cdn.akamai.steamstatic.com/steam/apps/962130/capsule_sm_120.jpg?t=1669729959
Sailing Era,$24.99$22.49,https://cdn.akamai.steamstatic.com/steam/apps/2161440/capsule_sm_120.jpg?t=1673506793
Escape the Backrooms,$9.99$8.99,https://cdn.akamai.steamstatic.com/steam/apps/1943950/capsule_sm_120.jpg?t=1673553323
The Elder Scrolls V: Skyrim Special Edition,$39.99,https://cdn.akamai.steamstatic.com/steam/apps/489830/capsule_sm_120.jpg?t=1650909796
Choo-Choo Charles,$19.99$14.99,https://cdn.akamai.steamstatic.com/steam/apps/1766740/capsule_sm_120.jpg?t=1670596632
Microsoft Flight Simulator 40th Anniversary Edition,$59.99,https://cdn.akamai.steamstatic.com/steam/apps/1250410/capsule_sm_120.jpg?t=1668186331
Fallout 76,$39.99,https://cdn.akamai.steamstatic.com/steam/apps/1151340/capsule_sm_120.jpg?t=1670349571
BeamNG.drive,$24.99,https://cdn.akamai.steamstatic.com/steam/apps/284160/capsule_sm_120.jpg?t=1670937192
Project Hospital,$24.99$9.99,https://cdn.akamai.steamstatic.com/steam/apps/868360/capsule_sm_120.jpg?t=1667226571
